,Life event,ID,Date,Gender,Age,Life expectancy,Marital status,Marriage duration,Marriage intention,Marriage age:,Employment status,Income,Capital,Children,Nr children,Birth age,Alive
245,Life event: Created,245,2011-01-01,Female,51,91,Married,43,Yes,,Permanent contract,13809,6211,Yes,2,,1
246,Life event: Created,246,2011-01-01,Female,54,5,Divorced,0,Yes,,Flexible contract,8501,176780,Yes,0,,1
247,Life event: Created,247,2011-01-01,Female,23,98,Single,0,Yes,87.0,Permanent contract,35619,-648,No,0,23.0,1
248,Life event: Created,248,2011-01-01,Female,44,59,Divorced,0,No,,Flexible contract,16475,1333,No,0,,1
249,Life event: Created,249,2011-01-01,Male,5,21,Single,0,Yes,30.0,Child,0,0,No,0,,1
250,Life event: Created,250,2011-01-01,Male,58,53,Married,47,No,,Permanent contract,717,59117,Yes,1,,1
251,Life event: Created,251,2011-01-01,Male,25,69,Married,37,No,,Permanent contract,39441,83699,Yes,3,,1
252,Life event: Created,252,2011-01-01,Male,40,84,Married,41,No,,Permanent contract,31922,-1800,Yes,3,,1
253,Life event: Created,253,2011-01-01,Female,42,62,Single,0,Yes,25.0,Entrepreneur without personnel,11928,86607,No,0,,1
254,Life event: Created,254,2011-01-01,Female,51,0,Married,57,Yes,,Permanent contract,23439,4394,Yes,2,,1
255,Life event: Created,255,2011-01-01,Female,57,98,Single,0,Yes,45.0,Permanent contract,61083,173784,Yes,0,,1
256,Life event: Created,256,2011-01-01,Male,75,94,Married,31,No,,Retired,93104,112554,No,1,,1
257,Life event: Created,257,2011-01-01,Female,31,98,Married,29,No,,Entrepreneur without personnel,41689,151484,No,3,,1
258,Life event: Created,258,2011-01-01,Male,0,52,Single,0,Yes,26.0,Child,0,0,No,0,,1
259,Life event: Created,259,2011-01-01,Male,34,95,Single,0,No,,Permanent contract,33174,2655,Yes,0,,1
260,Life event: Created,260,2011-01-01,Male,47,97,Married,36,No,,Permanent contract,14617,10794,Yes,2,,1
261,Life event: Created,261,2011-01-01,Male,67,94,Divorced,0,Yes,,Permanent contract,4453,898139,Yes,0,,1
262,Life event: Created,262,2011-01-01,Female,0,96,Single,0,No,,Child,0,0,Yes,0,25.0,1
263,Life event: Created,263,2011-01-01,Male,96,78,Widowed,0,No,,Retired,26422,29409,Yes,0,,1
264,Life event: Created,264,2011-01-01,Female,24,98,Single,0,Yes,28.0,Entrepreneur without personnel,42408,27762,Yes,0,31.0,1
265,Life event: Created,265,2011-01-01,Female,66,98,Married,9,No,,Entrepreneur with personel,170905,13756,Yes,2,,1
266,Life event: Created,266,2011-01-01,Male,39,97,Married,32,No,,Flexible contract,2612,-2295,Yes,1,,1
267,Life event: Created,267,2011-01-01,Female,62,44,Married,2,Yes,,Unemployed,4226,244749,Yes,2,,1
268,Life event: Created,268,2011-01-01,Male,20,14,Single,0,No,,Permanent contract,38067,-1083,Yes,0,,1
269,Life event: Created,269,2011-01-01,Female,3,35,Single,0,No,,Child,0,0,Yes,0,39.0,1
270,Life event: Created,270,2011-01-01,Male,34,95,Married,9,No,,Permanent contract,27854,13128,No,2,,1
271,Life event: Created,271,2011-01-01,Female,70,95,Widowed,0,Yes,,Retired,29028,-33034,Yes,0,,1
272,Life event: Created,272,2011-01-01,Female,64,85,Married,41,No,,Unemployed,28938,144218,No,1,,1
273,Life event: Created,273,2011-01-01,Male,51,88,Divorced,0,No,,Unemployed,22181,9893,No,0,,1
274,Life event: Created,274,2011-01-01,Female,24,6,Single,0,Yes,32.0,Permanent contract,78468,-16177,Yes,0,30.0,1
275,Life event: Created,275,2011-01-01,Male,50,84,Widowed,0,Yes,,Permanent contract,28977,1503550,Yes,0,,1
276,Life event: Created,276,2011-01-01,Female,47,91,Single,0,Yes,23.0,Permanent contract,11723,25002,No,0,,1
277,Life event: Created,277,2011-01-01,Female,42,94,Married,25,Yes,,Flexible contract,21307,1104,No,2,,1
278,Life event: Created,278,2011-01-01,Female,32,96,Married,55,No,,Permanent contract,6165,228,No,2,39.0,1
279,Life event: Created,279,2011-01-01,Male,63,95,Single,0,No,,Flexible contract,26617,201974,No,0,,1
280,Life event: Created,280,2011-01-01,Male,86,96,Widowed,0,Yes,,Retired,12052,-32530,No,0,,1
281,Life event: Created,281,2011-01-01,Male,50,91,Single,0,Yes,28.0,Entrepreneur without personnel,26169,128075,No,0,,1
282,Life event: Created,282,2011-01-01,Female,21,10,Single,0,Yes,29.0,Permanent contract,22929,934376,Yes,0,32.0,1
283,Life event: Created,283,2011-01-01,Female,16,97,Single,0,No,,Child,0,0,Yes,0,34.0,1
284,Life event: Created,284,2011-01-01,Male,24,17,Single,0,Yes,35.0,Flexible contract,13555,43691,Yes,0,,1
285,Life event: Created,285,2011-01-01,Female,28,17,Single,0,No,,Permanent contract,45643,60132,Yes,0,34.0,1
286,Life event: Created,286,2011-01-01,Male,16,93,Single,0,Yes,34.0,Child,0,0,No,0,,1
287,Life event: Created,287,2011-01-01,Male,32,98,Single,0,Yes,57.0,Entrepreneur with personel,16548,-12171,Yes,0,,1
288,Life event: Created,288,2011-01-01,Female,33,87,Married,45,Yes,,Permanent contract,15046,264,No,1,,1
289,Life event: Created,289,2011-01-01,Female,51,10,Divorced,0,No,,Flexible contract,30057,192618,No,0,,1
290,Life event: Created,290,2011-01-01,Female,20,96,Single,0,Yes,45.0,Permanent contract,23263,99165,No,0,28.0,1
291,Life event: Created,291,2011-01-01,Male,17,60,Single,0,No,,Child,0,0,No,0,,1
1756,Life event: Adulthood,291,2012-12-24,Male,18,60,Single,0,Yes,38.0,Flexible contract,13923,-42545,No,0,,1
292,Life event: Created,292,2011-01-01,Female,62,73,Married,14,Yes,,Entrepreneur without personnel,32647,22514,Yes,1,,1
293,Life event: Created,293,2011-01-01,Male,64,95,Single,0,Yes,29.0,Permanent contract,1879,-41946,No,0,,1
294,Life event: Created,294,2011-01-01,Male,52,81,Married,45,Yes,,Permanent contract,2665,212726,No,1,,1
295,Life event: Created,295,2011-01-01,Male,28,8,Married,17,Yes,,Permanent contract,16897,4191,No,2,,1
296,Life event: Created,296,2011-01-01,Male,51,97,Single,0,Yes,33.0,Permanent contract,22353,360441,Yes,0,,1
297,Life event: Created,297,2011-01-01,Female,40,97,Married,21,Yes,,Permanent contract,14931,-2073,No,1,,1
298,Life event: Created,298,2011-01-01,Female,52,44,Divorced,0,No,,Flexible contract,92819,231415,Yes,0,,1
299,Life event: Created,299,2011-01-01,Male,65,98,Married,13,Yes,,Permanent contract,43222,498621,No,3,,1
300,Life event: Created,300,2011-01-01,Female,15,5,Single,0,Yes,26.0,Child,0,0,No,0,33.0,1
301,Life event: Created,301,2011-01-01,Male,23,97,Single,0,Yes,21.0,Permanent contract,16615,-30146,Yes,0,,1
302,Life event: Created,302,2011-01-01,Male,73,98,Married,48,Yes,,Retired,8557,-24422,Yes,2,,1
303,Life event: Created,303,2011-01-01,Female,0,96,Single,0,Yes,35.0,Child,0,0,No,0,34.0,1
304,Life event: Created,304,2011-01-01,Female,6,98,Single,0,Yes,23.0,Child,0,0,Yes,0,41.0,1
305,Life event: Created,305,2011-01-01,Female,56,92,Married,34,Yes,,Permanent contract,16011,179319,No,2,,1
306,Life event: Created,306,2011-01-01,Male,41,93,Married,25,Yes,,Entrepreneur without personnel,63375,360988,No,1,,1
307,Life event: Created,307,2011-01-01,Female,3,86,Single,0,No,,Child,0,0,Yes,0,27.0,1
308,Life event: Created,308,2011-01-01,Female,61,98,Married,17,Yes,,Permanent contract,6373,634417,No,2,,1
309,Life event: Created,309,2011-01-01,Female,59,92,Married,4,No,,Entrepreneur without personnel,70487,463088,No,1,,1
310,Life event: Created,310,2011-01-01,Male,61,98,Divorced,0,No,,Unemployed,79959,-5226,Yes,0,,1
311,Life event: Created,311,2011-01-01,Male,21,98,Single,0,No,,Flexible contract,18239,-49048,Yes,0,,1
312,Life event: Created,312,2011-01-01,Male,4,97,Single,0,Yes,20.0,Child,0,0,Yes,0,,1
313,Life event: Created,313,2011-01-01,Female,8,94,Single,0,No,,Child,0,0,Yes,0,32.0,1
314,Life event: Created,314,2011-01-01,Male,48,94,Married,19,No,,Permanent contract,112,442105,Yes,1,,1
315,Life event: Created,315,2011-01-01,Female,7,85,Single,0,No,,Child,0,0,Yes,0,27.0,1
316,Life event: Created,316,2011-01-01,Male,78,97,Widowed,0,No,,Retired,18542,568141,Yes,0,,1
317,Life event: Created,317,2011-01-01,Male,54,92,Single,0,Yes,35.0,Entrepreneur without personnel,35285,34328,No,0,,1
318,Life event: Created,318,2011-01-01,Female,14,98,Single,0,Yes,25.0,Child,0,0,Yes,0,38.0,1
319,Life event: Created,319,2011-01-01,Male,40,93,Married,9,Yes,,Permanent contract,49419,604249,Yes,1,,1
320,Life event: Created,320,2011-01-01,Male,27,98,Married,46,No,,Unemployed,11399,129397,No,1,,1
321,Life event: Created,321,2011-01-01,Female,39,96,Single,0,Yes,45.0,Permanent contract,53013,871,Yes,0,,1
322,Life event: Created,322,2011-01-01,Male,49,95,Married,35,No,,Permanent contract,5710,3835,Yes,1,,1
323,Life event: Created,323,2011-01-01,Male,50,98,Married,35,Yes,,Permanent contract,5594,72475,Yes,2,,1
324,Life event: Created,324,2011-01-01,Male,46,95,Married,9,Yes,,Permanent contract,14516,230846,No,3,,1
325,Life event: Created,325,2011-01-01,Male,64,65,Married,22,Yes,,Permanent contract,14377,180429,No,3,,1
326,Life event: Created,326,2011-01-01,Male,60,94,Married,12,No,,Permanent contract,36270,329836,No,1,,1
327,Life event: Created,327,2011-01-01,Female,59,24,Married,41,No,,Permanent contract,3900,15001,No,2,,1
328,Life event: Created,328,2011-01-01,Female,31,51,Single,0,No,,Permanent contract,34938,3717705,Yes,0,,1
329,Life event: Created,329,2011-01-01,Male,64,98,Married,28,No,,Permanent contract,16177,542635,No,2,,1
330,Life event: Created,330,2011-01-01,Female,44,84,Married,30,No,,Permanent contract,13373,2799894,Yes,1,,1
331,Life event: Created,331,2011-01-01,Male,55,96,Married,16,No,,Permanent contract,27603,185618,Yes,1,,1
332,Life event: Created,332,2011-01-01,Female,73,66,Married,22,No,,Retired,27033,27337,Yes,1,,1
333,Life event: Created,333,2011-01-01,Male,53,98,Married,1,No,,Flexible contract,82620,3250685,Yes,2,,1
1706,Life event: Divorced,333,2012-02-04,Male,54,98,Divorced,1,No,,Flexible contract,82620,3250685,Yes,2,,1
334,Life event: Created,334,2011-01-01,Male,21,54,Single,0,No,,Unemployed,36935,3727155,Yes,0,,1
335,Life event: Created,335,2011-01-01,Female,49,86,Single,0,No,,Permanent contract,13109,330231,Yes,0,,1
336,Life event: Created,336,2011-01-01,Male,3,97,Single,0,No,,Child,0,0,Yes,0,,1
337,Life event: Created,337,2011-01-01,Female,40,51,Married,36,No,,Unemployed,14610,-40019,Yes,1,,1
338,Life event: Created,338,2011-01-01,Male,37,97,Married,33,No,,Permanent contract,5011,24375,No,1,,1
339,Life event: Created,339,2011-01-01,Female,84,26,Widowed,0,Yes,,Retired,5740,600881,Yes,0,,1
340,Life event: Created,340,2011-01-01,Female,52,58,Married,9,No,,Permanent contract,32246,552779,No,2,,1
341,Life event: Created,341,2011-01-01,Female,42,48,Single,0,Yes,21.0,Flexible contract,23559,347459,No,0,,1
342,Life event: Created,342,2011-01-01,Female,35,78,Married,2,No,,Entrepreneur without personnel,32398,13886,No,2,41.0,1
343,Life event: Created,343,2011-01-01,Male,66,90,Married,43,No,,Unemployed,22297,82742,No,1,,1
344,Life event: Created,344,2011-01-01,Female,17,96,Single,0,Yes,28.0,Child,0,0,No,0,29.0,1
1733,Life event: Adulthood,344,2012-09-07,Female,18,96,Single,0,Yes,33.0,Permanent contract,37503,7422,No,0,29.0,1
345,Life event: Created,345,2011-01-01,Male,32,98,Single,0,No,,Permanent contract,24589,278281,No,0,,1
346,Life event: Created,346,2011-01-01,Male,61,97,Married,40,Yes,,Unemployed,26780,41817,No,3,,1
347,Life event: Created,347,2011-01-01,Male,64,29,Divorced,0,Yes,,Permanent contract,302,-28248,Yes,0,,1
348,Life event: Created,348,2011-01-01,Female,53,93,Divorced,0,Yes,,Permanent contract,8001,180838,Yes,0,,1
349,Life event: Created,349,2011-01-01,Female,35,98,Married,9,No,,Permanent contract,24561,69001,No,2,,1
350,Life event: Created,350,2011-01-01,Female,57,95,Divorced,0,No,,Permanent contract,37601,11546,No,0,,1
351,Life event: Created,351,2011-01-01,Female,43,1,Married,2,Yes,,Flexible contract,18642,128870,Yes,2,,1
352,Life event: Created,352,2011-01-01,Male,36,37,Married,15,No,,Permanent contract,93430,193692,Yes,2,,1
353,Life event: Created,353,2011-01-01,Male,22,97,Single,0,Yes,30.0,Permanent contract,387,-25510,Yes,0,,1
354,Life event: Created,354,2011-01-01,Female,50,97,Married,23,Yes,,Permanent contract,46140,145887,No,1,,1
355,Life event: Created,355,2011-01-01,Female,46,97,Married,33,Yes,,Permanent contract,45168,-47591,Yes,2,,1
356,Life event: Created,356,2011-01-01,Female,36,0,Single,0,Yes,29.0,Flexible contract,34957,42008,No,0,,1
357,Life event: Created,357,2011-01-01,Female,31,91,Single,0,No,,Flexible contract,13920,73041,No,0,36.0,1
358,Life event: Created,358,2011-01-01,Male,56,92,Married,4,Yes,,Entrepreneur without personnel,6650,-45499,Yes,2,,1
359,Life event: Created,359,2011-01-01,Female,50,37,Single,0,Yes,46.0,Permanent contract,7692,416149,Yes,0,,1
360,Life event: Created,360,2011-01-01,Female,17,80,Single,0,Yes,47.0,Child,0,0,Yes,0,20.0,1
1728,Life event: Adulthood,360,2012-08-03,Female,18,80,Single,0,No,,Entrepreneur with personel,17092,168823,Yes,0,20.0,1
361,Life event: Created,361,2011-01-01,Male,98,55,Widowed,0,Yes,,Retired,55500,1873,Yes,0,,1
362,Life event: Created,362,2011-01-01,Male,2,98,Single,0,Yes,39.0,Child,0,0,Yes,0,,1
363,Life event: Created,363,2011-01-01,Female,69,95,Married,19,Yes,,Retired,9083,93357,Yes,3,,1
364,Life event: Created,364,2011-01-01,Female,73,56,Widowed,0,No,,Retired,27675,319899,Yes,0,,1
365,Life event: Created,365,2011-01-01,Female,39,65,Married,10,Yes,,Permanent contract,9522,162821,Yes,3,,1
366,Life event: Created,366,2011-01-01,Male,65,97,Married,42,Yes,,Permanent contract,6817,19984,Yes,2,,1
367,Life event: Created,367,2011-01-01,Female,0,92,Single,0,No,,Child,0,0,No,0,31.0,1
368,Life event: Created,368,2011-01-01,Male,13,96,Single,0,Yes,38.0,Child,0,0,Yes,0,,1
369,Life event: Created,369,2011-01-01,Female,9,72,Single,0,Yes,21.0,Child,0,0,Yes,0,34.0,1
370,Life event: Created,370,2011-01-01,Male,26,91,Single,0,No,,Flexible contract,27480,2052507,No,0,,1
371,Life event: Created,371,2011-01-01,Female,102,95,Widowed,0,No,,Retired,501,314646,Yes,0,,1
372,Life event: Created,372,2011-01-01,Male,25,87,Single,0,No,,Permanent contract,33194,4544,No,0,,1
373,Life event: Created,373,2011-01-01,Male,83,97,Widowed,0,Yes,,Retired,5728,522,Yes,0,,1
374,Life event: Created,374,2011-01-01,Female,31,95,Single,0,No,,Permanent contract,14843,-16982,No,0,31.0,1
375,Life event: Created,375,2011-01-01,Male,32,20,Married,45,No,,Permanent contract,16985,91831,No,1,,1
376,Life event: Created,376,2011-01-01,Female,15,92,Single,0,No,,Child,0,0,Yes,0,33.0,1
377,Life event: Created,377,2011-01-01,Male,65,85,Divorced,0,Yes,,Entrepreneur without personnel,36978,922,Yes,0,,1
378,Life event: Created,378,2011-01-01,Male,76,98,Widowed,0,No,,Retired,20483,479400,No,0,,1
379,Life event: Created,379,2011-01-01,Male,53,91,Married,30,No,,Unemployed,34023,2906818,Yes,1,,1
380,Life event: Created,380,2011-01-01,Male,26,67,Single,0,No,,Permanent contract,7645,34748,No,0,,1
381,Life event: Created,381,2011-01-01,Male,54,58,Married,36,No,,Permanent contract,1906,495540,Yes,3,,1
382,Life event: Created,382,2011-01-01,Male,29,95,Single,0,Yes,44.0,Permanent contract,785,742613,No,0,,1
383,Life event: Created,383,2011-01-01,Male,64,98,Married,43,Yes,,Permanent contract,16422,194480,Yes,2,,1
384,Life event: Created,384,2011-01-01,Male,78,93,Widowed,0,No,,Retired,11225,11377,Yes,0,,1
385,Life event: Created,385,2011-01-01,Female,29,96,Married,39,Yes,,Permanent contract,71170,34103,No,1,38.0,1
386,Life event: Created,386,2011-01-01,Male,21,98,Single,0,Yes,40.0,Permanent contract,38229,154244,Yes,0,,1
387,Life event: Created,387,2011-01-01,Female,79,77,Married,23,Yes,,Retired,35265,-30463,Yes,1,,1
388,Life event: Created,388,2011-01-01,Male,28,59,Single,0,Yes,30.0,Flexible contract,24803,467671,No,0,,1
389,Life event: Created,389,2011-01-01,Male,40,92,Single,0,Yes,30.0,Permanent contract,2885,386937,No,0,,1
390,Life event: Created,390,2011-01-01,Male,49,97,Married,43,No,,Permanent contract,90525,423468,No,3,,1
391,Life event: Created,391,2011-01-01,Male,24,94,Single,0,No,,Permanent contract,13468,-36498,No,0,,1
392,Life event: Created,392,2011-01-01,Female,57,96,Single,0,No,,Permanent contract,22147,2875,Yes,0,,1
393,Life event: Created,393,2011-01-01,Female,87,97,Widowed,0,Yes,,Retired,49034,9845,Yes,0,,1
394,Life event: Created,394,2011-01-01,Male,42,77,Single,0,No,,Permanent contract,24686,189207,No,0,,1
395,Life event: Created,395,2011-01-01,Male,63,91,Married,59,No,,Permanent contract,15676,66030,Yes,2,,1
396,Life event: Created,396,2011-01-01,Female,7,97,Single,0,No,,Child,0,0,No,0,28.0,1
397,Life event: Created,397,2011-01-01,Male,49,91,Married,52,No,,Entrepreneur without personnel,27189,21613,Yes,2,,1
398,Life event: Created,398,2011-01-01,Male,41,98,Divorced,0,No,,Entrepreneur with personel,98165,-27044,Yes,0,,1
399,Life event: Created,399,2011-01-01,Female,13,96,Single,0,No,,Child,0,0,No,0,29.0,1
400,Life event: Created,400,2011-01-01,Female,57,86,Married,12,Yes,,Permanent contract,14996,130441,No,2,,1
401,Life event: Created,401,2011-01-01,Male,1,96,Single,0,No,,Child,0,0,Yes,0,,1
402,Life event: Created,402,2011-01-01,Male,61,94,Married,18,No,,Permanent contract,78690,7618,Yes,2,,1
403,Life event: Created,403,2011-01-01,Male,78,95,Widowed,0,No,,Retired,14076,47435,No,0,,1
404,Life event: Created,404,2011-01-01,Male,40,97,Married,34,No,,Entrepreneur without personnel,36548,188171,No,1,,1
405,Life event: Created,405,2011-01-01,Female,8,98,Single,0,Yes,31.0,Child,0,0,Yes,0,22.0,1
406,Life event: Created,406,2011-01-01,Female,29,55,Single,0,No,,Permanent contract,20698,735205,No,0,,1
407,Life event: Created,407,2011-01-01,Male,60,42,Single,0,Yes,31.0,Permanent contract,46155,305558,No,0,,1
408,Life event: Created,408,2011-01-01,Female,77,92,Married,58,No,,Retired,33108,38171,No,1,,1
409,Life event: Created,409,2011-01-01,Female,31,58,Married,2,No,,Permanent contract,2394,303496,No,1,,1
410,Life event: Created,410,2011-01-01,Male,62,29,Divorced,0,Yes,,Entrepreneur without personnel,13431,302683,No,0,,1
411,Life event: Created,411,2011-01-01,Male,5,68,Single,0,Yes,31.0,Child,0,0,No,0,,1
412,Life event: Created,412,2011-01-01,Female,56,22,Married,18,Yes,,Permanent contract,48323,299347,No,2,,1
413,Life event: Created,413,2011-01-01,Male,74,56,Widowed,0,Yes,,Retired,2878,523,No,0,,1
414,Life event: Created,414,2011-01-01,Female,76,92,Married,45,No,,Retired,4822,-3250,Yes,2,,1
415,Life event: Created,415,2011-01-01,Female,87,92,Widowed,0,Yes,,Retired,28823,42626,No,0,,1
416,Life event: Created,416,2011-01-01,Female,44,98,Single,0,No,,Permanent contract,19839,318636,Yes,0,,1
417,Life event: Created,417,2011-01-01,Male,65,94,Divorced,0,No,,Permanent contract,23261,102092,Yes,0,,1
418,Life event: Created,418,2011-01-01,Female,63,23,Married,42,No,,Permanent contract,35200,900,Yes,1,,1
419,Life event: Created,419,2011-01-01,Male,64,4,Married,18,Yes,,Entrepreneur without personnel,28057,346098,Yes,2,,1
420,Life event: Created,420,2011-01-01,Female,52,98,Single,0,No,,Entrepreneur with personel,29566,3113794,No,0,,1
421,Life event: Created,421,2011-01-01,Female,72,75,Married,21,Yes,,Retired,23603,477588,Yes,1,,1
422,Life event: Created,422,2011-01-01,Female,63,97,Widowed,0,Yes,,Entrepreneur without personnel,39040,58704,No,0,,1
423,Life event: Created,423,2011-01-01,Male,40,97,Married,42,No,,Permanent contract,9776,13834,Yes,2,,1
424,Life event: Created,424,2011-01-01,Female,3,93,Single,0,No,,Child,0,0,No,0,29.0,1
425,Life event: Created,425,2011-01-01,Male,45,97,Married,45,No,,Permanent contract,14894,-8061,No,2,,1
426,Life event: Created,426,2011-01-01,Female,8,85,Single,0,Yes,35.0,Child,0,0,Yes,0,35.0,1
427,Life event: Created,427,2011-01-01,Male,59,96,Married,23,Yes,,Flexible contract,15113,675,No,2,,1
428,Life event: Created,428,2011-01-01,Male,62,90,Single,0,No,,Permanent contract,18183,46207,Yes,0,,1
429,Life event: Created,429,2011-01-01,Female,1,94,Single,0,No,,Child,0,0,Yes,0,27.0,1
430,Life event: Created,430,2011-01-01,Male,34,98,Single,0,Yes,31.0,Flexible contract,57187,417972,No,0,,1
431,Life event: Created,431,2011-01-01,Male,49,26,Married,38,Yes,,Unemployed,28902,-2794,No,2,,1
432,Life event: Created,432,2011-01-01,Male,13,98,Single,0,No,,Child,0,0,No,0,,1
433,Life event: Created,433,2011-01-01,Female,14,95,Single,0,Yes,53.0,Child,0,0,No,0,24.0,1
434,Life event: Created,434,2011-01-01,Male,38,96,Single,0,No,,Entrepreneur without personnel,22743,66142,Yes,0,,1
435,Life event: Created,435,2011-01-01,Male,23,13,Single,0,No,,Permanent contract,43030,-1559,Yes,0,,1
436,Life event: Created,436,2011-01-01,Male,64,95,Married,24,No,,Unemployed,2402,579323,No,3,,1
437,Life event: Created,437,2011-01-01,Male,28,95,Married,17,Yes,,Entrepreneur without personnel,3981,475680,Yes,1,,1
438,Life event: Created,438,2011-01-01,Female,69,96,Divorced,0,Yes,,Retired,49792,645430,Yes,0,,1
439,Life event: Created,439,2011-01-01,Male,48,95,Divorced,0,No,,Permanent contract,13271,-45068,No,0,,1
440,Life event: Created,440,2011-01-01,Male,77,95,Widowed,0,No,,Retired,69372,474100,No,0,,1
441,Life event: Created,441,2011-01-01,Male,45,97,Married,32,Yes,,Permanent contract,7593,167793,Yes,1,,1
442,Life event: Created,442,2011-01-01,Male,60,49,Married,33,No,,Permanent contract,19892,8038,Yes,1,,1
443,Life event: Created,443,2011-01-01,Male,77,36,Widowed,0,Yes,,Retired,27252,702319,Yes,0,,1
444,Life event: Created,444,2011-01-01,Male,41,98,Single,0,No,,Permanent contract,29230,45488,No,0,,1
445,Life event: Created,445,2011-01-01,Male,34,98,Single,0,No,,Permanent contract,31732,53757,Yes,0,,1
446,Life event: Created,446,2011-01-01,Male,38,98,Married,37,No,,Entrepreneur without personnel,18158,1165,Yes,2,,1
447,Life event: Created,447,2011-01-01,Male,97,98,Widowed,0,Yes,,Retired,3901,1551,Yes,0,,1
1724,Life event: Deceased,447,2012-07-13,Male,99,98,Widowed,0,Yes,,Retired,3901,1551,Yes,0,,0
448,Life event: Created,448,2011-01-01,Male,25,11,Single,0,Yes,38.0,Unemployed,47251,797887,Yes,0,,1
449,Life event: Created,449,2011-01-01,Female,38,87,Married,15,No,,Entrepreneur with personel,20425,86025,No,2,,1
450,Life event: Created,450,2011-01-01,Male,38,97,Single,0,No,,Flexible contract,2956,15912,No,0,,1
451,Life event: Created,451,2011-01-01,Male,31,95,Married,54,No,,Entrepreneur without personnel,19902,50,No,1,,1
452,Life event: Created,452,2011-01-01,Female,47,56,Married,6,Yes,,Permanent contract,9779,18744,No,3,,1
453,Life event: Created,453,2011-01-01,Male,38,98,Single,0,Yes,37.0,Unemployed,14417,-35688,Yes,0,,1
454,Life event: Created,454,2011-01-01,Female,75,95,Married,42,Yes,,Retired,14778,323,Yes,1,,1
455,Life event: Created,455,2011-01-01,Male,23,97,Single,0,No,,Flexible contract,10905,32919,Yes,0,,1
456,Life event: Created,456,2011-01-01,Male,28,89,Single,0,Yes,39.0,Permanent contract,17871,147,Yes,0,,1
457,Life event: Created,457,2011-01-01,Female,79,60,Married,42,No,,Retired,14258,147039,Yes,1,,1
458,Life event: Created,458,2011-01-01,Male,52,97,Married,26,No,,Permanent contract,28606,-27889,No,2,,1
459,Life event: Created,459,2011-01-01,Female,55,97,Married,29,Yes,,Permanent contract,42218,16632,Yes,2,,1
460,Life event: Created,460,2011-01-01,Female,26,92,Single,0,Yes,40.0,Permanent contract,39523,32652,No,0,32.0,1
461,Life event: Created,461,2011-01-01,Female,51,93,Widowed,0,Yes,,Permanent contract,94786,441828,Yes,0,,1
462,Life event: Created,462,2011-01-01,Female,8,60,Single,0,Yes,30.0,Child,0,0,Yes,0,31.0,1
463,Life event: Created,463,2011-01-01,Female,42,60,Divorced,0,Yes,,Entrepreneur with personel,10194,40629,No,0,,1
464,Life event: Created,464,2011-01-01,Female,41,97,Married,29,No,,Permanent contract,6641,307729,Yes,2,,1
465,Life event: Created,465,2011-01-01,Male,42,50,Married,28,No,,Flexible contract,29439,321240,No,1,,1
466,Life event: Created,466,2011-01-01,Male,69,71,Married,40,No,,Retired,30207,3384,Yes,1,,1
467,Life event: Created,467,2011-01-01,Male,2,88,Single,0,Yes,37.0,Child,0,0,Yes,0,,1
468,Life event: Created,468,2011-01-01,Female,63,81,Single,0,Yes,40.0,Permanent contract,25849,261566,Yes,0,,1
469,Life event: Created,469,2011-01-01,Female,44,93,Married,18,No,,Permanent contract,47380,377366,Yes,3,,1
470,Life event: Created,470,2011-01-01,Male,41,84,Married,17,No,,Flexible contract,13556,231,Yes,1,,1
471,Life event: Created,471,2011-01-01,Female,27,84,Single,0,No,,Flexible contract,3518,37203,Yes,0,31.0,1
472,Life event: Created,472,2011-01-01,Male,51,96,Married,9,Yes,,Entrepreneur without personnel,121358,19951,Yes,1,,1
473,Life event: Created,473,2011-01-01,Male,7,41,Single,0,Yes,65.0,Child,0,0,Yes,0,,1
474,Life event: Created,474,2011-01-01,Male,3,97,Single,0,No,,Child,0,0,No,0,,1
475,Life event: Created,475,2011-01-01,Male,52,95,Married,14,Yes,,Permanent contract,18546,219954,Yes,1,,1
476,Life event: Created,476,2011-01-01,Female,37,96,Married,13,Yes,,Permanent contract,15280,3467,No,1,44.0,1
477,Life event: Created,477,2011-01-01,Female,78,94,Married,20,No,,Retired,61650,-37975,Yes,2,,1
478,Life event: Created,478,2011-01-01,Female,63,19,Married,15,No,,Flexible contract,23609,326474,Yes,1,,1
479,Life event: Created,479,2011-01-01,Female,48,90,Married,11,No,,Entrepreneur without personnel,17545,-7292,No,1,,1
480,Life event: Created,480,2011-01-01,Female,50,33,Married,6,Yes,,Permanent contract,12053,32869,No,2,,1
481,Life event: Created,481,2011-01-01,Female,33,94,Single,0,Yes,22.0,Permanent contract,37156,15832,Yes,0,,1
482,Life event: Created,482,2011-01-01,Male,48,61,Married,1,No,,Permanent contract,48988,322972,No,2,,1
1722,Life event: Divorced,482,2012-07-04,Male,49,61,Divorced,1,No,,Permanent contract,48988,322972,No,2,,1
483,Life event: Created,483,2011-01-01,Female,16,98,Single,0,Yes,30.0,Child,0,0,Yes,0,32.0,1
484,Life event: Created,484,2011-01-01,Female,95,97,Widowed,0,No,,Retired,28305,17890,Yes,0,,1
485,Life event: Created,485,2011-01-01,Female,27,94,Single,0,No,,Permanent contract,15838,18442,Yes,0,35.0,1
486,Life event: Created,486,2011-01-01,Male,13,98,Single,0,No,,Child,0,0,Yes,0,,1
